"","Transect","PastureID","Fire","Graze","PUTR2","none","AF","PG","PF","ARTR4","TECA2","AG","CHVI","CHVI8","SD","M","ShrubTotal","TotalCover","PercentShrubCover","PercentAFCover","PercentPFCover","PercentPGCover","PercentAGCover","PercentARTR4Cover","PercentShrubCover + PercentPFCover + PercentPGCover + PercentAGCover"
"1",5,"1B","Burn","Spring",2,4,5,14,0,0,0,0,0,0,0,0,2,21,9.52380952380952,23.8095238095238,0,66.6666666666667,0,0,76.1904761904762
"2",4,"1B","Burn","Spring",0,7,2,7,1,7,1,0,0,0,0,0,8,18,44.4444444444444,11.1111111111111,5.55555555555556,38.8888888888889,0,38.8888888888889,88.8888888888889
"3",3,"1B","Burn","Spring",0,10,1,10,1,0,0,3,0,0,0,0,0,15,0,6.66666666666667,6.66666666666667,66.6666666666667,20,0,93.3333333333333
"4",2,"1B","Burn","Spring",0,9,4,8,0,0,0,4,0,0,0,0,0,16,0,25,0,50,25,0,75
"5",1,"1B","Burn","Spring",2,12,2,7,0,0,0,2,0,0,0,0,2,13,15.3846153846154,15.3846153846154,0,53.8461538461538,15.3846153846154,0,84.6153846153846
"6",1,"1A","NoBurn","Fall",0,4,2,14,2,3,0,0,0,0,0,0,3,21,14.2857142857143,9.52380952380952,9.52380952380952,66.6666666666667,0,14.2857142857143,90.4761904761905
"7",2,"1A","NoBurn","Fall",0,7,1,5,8,3,0,1,0,0,0,0,3,18,16.6666666666667,5.55555555555556,44.4444444444444,27.7777777777778,5.55555555555556,16.6666666666667,94.4444444444444
"8",3,"1A","NoBurn","Fall",0,12,2,6,1,1,0,2,1,0,0,0,2,13,15.3846153846154,15.3846153846154,7.69230769230769,46.1538461538462,15.3846153846154,7.69230769230769,84.6153846153846
"9",4,"1A","NoBurn","Fall",0,4,2,13,2,0,0,4,0,0,0,0,0,21,0,9.52380952380952,9.52380952380952,61.9047619047619,19.047619047619,0,90.4761904761905
"10",5,"1A","NoBurn","Fall",0,7,1,10,4,0,1,2,0,0,0,0,1,18,5.55555555555556,5.55555555555556,22.2222222222222,55.5555555555556,11.1111111111111,0,94.4444444444445
"11",5,"2B","Burn","Fall",0,4,0,15,2,1,0,3,0,0,0,0,1,21,4.76190476190476,0,9.52380952380952,71.4285714285714,14.2857142857143,4.76190476190476,100
"12",4,"2B","Burn","Fall",0,4,2,9,6,3,1,0,0,0,0,0,4,21,19.047619047619,9.52380952380952,28.5714285714286,42.8571428571429,0,14.2857142857143,90.4761904761905
"13",1,"2B","Burn","Fall",0,10,1,6,5,1,0,2,0,0,0,0,1,15,6.66666666666667,6.66666666666667,33.3333333333333,40,13.3333333333333,6.66666666666667,93.3333333333333
"14",2,"2B","Burn","Fall",0,4,2,10,5,0,0,3,0,1,0,0,1,21,4.76190476190476,9.52380952380952,23.8095238095238,47.6190476190476,14.2857142857143,0,90.4761904761905
"15",3,"2B","Burn","Fall",0,5,2,7,6,1,0,3,0,1,0,0,2,20,10,10,30,35,15,5,90
"16",1,"EX-2B","Burn","NoGraze",0,3,1,11,2,0,1,3,0,4,0,0,5,22,22.7272727272727,4.54545454545455,9.09090909090909,50,13.6363636363636,0,95.4545454545455
"17",2,"EX-2B","Burn","NoGraze",0,6,2,4,4,2,1,4,0,2,0,0,5,19,26.3157894736842,10.5263157894737,21.0526315789474,21.0526315789474,21.0526315789474,10.5263157894737,89.4736842105263
"18",3,"EX-2B","Burn","NoGraze",2,3,4,4,2,4,5,0,0,1,0,0,12,22,54.5454545454545,18.1818181818182,9.09090909090909,18.1818181818182,0,18.1818181818182,81.8181818181818
"19",3,"EX-1B","Burn","NoGraze",0,1,2,8,3,1,0,7,0,1,2,0,2,22,9.09090909090909,9.09090909090909,13.6363636363636,36.3636363636364,31.8181818181818,4.54545454545455,90.9090909090909
"20",5,"EX-1B","Burn","NoGraze",0,3,0,10,5,0,0,4,0,0,3,0,0,19,0,0,26.3157894736842,52.6315789473684,21.0526315789474,0,100
"21",1,"2A","NoBurn","Spring",3,6,0,1,2,7,0,6,0,0,0,0,10,19,52.6315789473684,0,10.5263157894737,5.26315789473684,31.578947368421,36.8421052631579,100
"22",2,"2A","NoBurn","Spring",2,5,5,3,0,9,0,1,0,0,0,0,11,20,55,25,0,15,5,45,75
"23",3,"2A","NoBurn","Spring",0,10,2,1,1,5,0,2,0,0,0,4,5,11,45.4545454545455,18.1818181818182,9.09090909090909,9.09090909090909,18.1818181818182,45.4545454545455,81.8181818181818
"24",4,"2A","NoBurn","Spring",0,7,6,1,1,5,0,4,0,1,0,0,6,18,33.3333333333333,33.3333333333333,5.55555555555556,5.55555555555556,22.2222222222222,27.7777777777778,66.6666666666667
"25",5,"2A","NoBurn","Spring",1,11,0,2,2,6,0,3,0,0,0,0,7,14,50,0,14.2857142857143,14.2857142857143,21.4285714285714,42.8571428571429,100
"26",1,"EX1A2A","NoBurn","NoGraze",0,5,0,3,4,9,0,2,0,2,0,0,11,20,55,0,20,15,10,45,100
"27",2,"EX1A2A","NoBurn","NoGraze",1,6,2,7,5,2,0,2,0,0,0,0,3,19,15.7894736842105,10.5263157894737,26.3157894736842,36.8421052631579,10.5263157894737,10.5263157894737,89.4736842105263
"28",3,"EX1A2A","NoBurn","NoGraze",0,6,0,3,6,7,1,1,0,1,0,0,9,19,47.3684210526316,0,31.578947368421,15.7894736842105,5.26315789473684,36.8421052631579,100
"29",4,"EX1A2A","NoBurn","NoGraze",3,10,1,2,3,5,0,1,0,0,0,0,8,15,53.3333333333333,6.66666666666667,20,13.3333333333333,6.66666666666667,33.3333333333333,93.3333333333333
"30",5,"EX1A2A","NoBurn","NoGraze",5,5,1,3,2,7,0,2,0,0,0,0,12,20,60,5,10,15,10,35,95
